क्र ,पुस्तकाचे नाव ,लेखक ,किंमत ,सवलतीत 
337,तुमचे-आमचे सुपरहिरो - आर.के. लक्ष्मण,मधुकर धर्मापुरीकर,99,74
338,द वील्डर ऑफ त्रिशूल,मधुरा बाळ,५००,३२५
339,मर्म मुद्रा,महावीर जोंधळे,280,210
340,भूमकाल,माधव सरकुंडे,480,360
341,जमशेटजी टाटा,माधवी कुलकर्णी,250,188
342,द स्पाय अँड टेृटर,माधवी कुलकर्णी,480,360
343,मायरा आणि देवराईचे गुपित भा १,मालविका देखणे,२००,१३०
344,मायरा आणि देवराईचे गुपित भा २,मालविका देखणे,१२०,७८
345,प्रयोग करूया शास्त्रज्ञ होऊया,मीना किणीकर,99,74
346,"प्रयोग करूयात, शास्त्रज्ञ होऊयात - खगोलशास्त्र",मीना किणीकर,99,74
347,"प्रयोग करूयात, शास्त्रज्ञ होऊयात - बायोलॉजी ",मीना किणीकर,120,90
348,"प्रयोग करूयात, शास्त्रज्ञ होऊयात - भूगोल, भूगभशास्त्र आणि हवामान",मीना किणीकर,99,74
349,"प्रयोग करूयात, शास्त्रज्ञ होऊयात - रसायनशास्त्र",मीना किणीकर,80,60
350,राई आणि इतर कथा,मुकुंद कुळे,99,74
351,पाणी : तुमचे-आमचे,मुकुंद धाराशिवकर,300,225
352,कारी द एलिफंट,मुकुंद वझे,120,90
353,जगणं वेचताना,मुक्ता मनोहर,299,224
354,अर्जुनाचा पुत्र अभिमन्यू,मृणाल धोंगडे/योगिता,३९९,२५९
355,द लिजंड ऑफ बर्हिजी नाईक-पन्हाळ्याचा वेढा,मृणाल धोंगडे/योगिता,४५०,२९३
356,द लिजंड ऑफ बर्हिजी नाईक-सुरतेवर छापा,मृणाल धोंगडे/योगिता,४५०,२९३
357,भारतीय भाषांची अनोखी कहाणी ,मेघना भुस्कुटे,399,299
358,अवयव बोलू लागतात,यश वेलणकर,199,149
359,"गुरुजी, तू मला आवडला ",युवराज माने,३३०,२१५
360,गोष्टीरुप १०१ म्हणी,योगेश्वर अभ्यंकर,१५०,९८
361,मी आहे (भाग १ ते १०),रघुवीर साखवळकर,३००,१९५
362,रजनी ते रज़िया,रजिया सुलतान,250,188
363,अंतर्बाह्य,रत्नाकर मतकरी,250,188
364,सवय जिंकण्याची,रमा नाडगौडा,240,180
365,नोआखाली,रमेश ओझा,270,203
366,कालपरवाच्या गोष्टी,रमेश जोशी,३००,१९५
